time,linear,angular
2024/05/01 11:06:46.538636498,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.588558637,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.638646038,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.688562367,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.738670989,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.788580077,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.838617788,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.888576937,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.938693899,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:46.988586017,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.38613257,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.88549325,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.138610505,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.188569104,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.238592774,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.288556872,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.338620602,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.388591500,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.438706372,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.488561608,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.538641509,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.588596837,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.638639447,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.688580125,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.738625555,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.788605124,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.838616323,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.888644593,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:47.938619472,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:47.988608600,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:48.38654239,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:48.88582007,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.138606626,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.188577823,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.238721334,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.288590301,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.338686620,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.388606467,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.438677357,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.488608914,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.538602492,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.588609741,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.638640849,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.688625688,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.738619435,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.788606924,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.838666513,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:48.888599520,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:48.938631129,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:48.988636998,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:49.38728096,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:49.88598961,"{'x': 0.26, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:49.138686080,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:49.188634177,"{'x': 0.24631578947368427, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:49.238654675,"{'x': 0.20526315789473687, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:49.288596361,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.052631578947368474}"
2024/05/01 11:06:49.338640910,"{'x': 0.23263157894736847, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.388601517,"{'x': 0.21894736842105267, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.438647354,"{'x': 0.21894736842105267, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.488683563,"{'x': 0.20526315789473687, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.538620829,"{'x': 0.20526315789473687, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.588624887,"{'x': 0.19157894736842107, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.638653675,"{'x': 0.19157894736842107, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.688612542,"{'x': 0.17789473684210527, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.738699301,"{'x': 0.17789473684210527, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.788618126,"{'x': 0.17789473684210527, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.838682745,"{'x': 0.16421052631578947, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.888599202,"{'x': 0.16421052631578947, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.938684970,"{'x': 0.15052631578947367, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:49.988622097,"{'x': 0.15052631578947367, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:50.38713825,"{'x': 0.15052631578947367, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:50.88627901,"{'x': 0.15052631578947367, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
2024/05/01 11:06:50.138669318,"{'x': 0.13684210526315788, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.0}"
